Symbol
AAPL
SBUX
COST
AVGO
KO
PEP
MCD
FLO
MSFT
GOOG
AMZN
TSLA
BRK/B
UNH
JNJ
V
META
WMT
XOM
PG
JPM
NVDA
LLY
MA
CVX
HD
ABBV
BAC
BX
USB
HUM
FCEL
MARA
GEVO
BLNK
GME
BMO
CSX
GSK
ATVI
ITW
BNS
MUFG
TFC
AMX
BSX
TEAM
SHW
MU
UBER
OXY
DG
HCA
ETN
